VEHICULO,ASIGNACION,TIPO
AAC-936,MOVILAT,3PL
ABE-738,BRAEDT S.A.,PROPIO
ABH-733,BRAEDT S.A.,PROPIO
AZX-935,GAVIDIA,3PL
AZZ-841,MEJIA,3PL
BCY-773,MOVILAT,3PL
BFY-769,MOVILAT,3PL
BLJ-907,MEJIA,3PL
BMO-778,GAVIDIA,3PL
BSX-809,MOVILAT,3PL
C4N-793,BRAEDT S.A.,PROPIO
C8G-900,BRAEDT S.A.,PROPIO
CEX-832,MOVILAT,3PL
CKF-826,BRAEDT S.A.,PROPIO
CKG-802,BRAEDT S.A.,PROPIO
CKH-809,BRAEDT S.A.,PROPIO
CKJ-738,BRAEDT S.A.,PROPIO
CKY-823,MOVILAT,3PL
CML-932,MOVILAT,3PL
D1M-791,BRAEDT S.A.,PROPIO
D1P-751,BRAEDT S.A.,PROPIO
F1G-866,BRAEDT S.A.,PROPIO
F8X-854,BRAEDT S.A.,PROPIO
F8X-899,BRAEDT S.A.,PROPIO
